"REF","LIS_TEST_LABEL","INSTRUMENT_TEST_CODE","DESCRIP","M_REF","DAY_PRIORITY","NIGHT_PRIORITY","HOLIDAY_PRIORITY","CALCULATED","ON_HOLD","GRP_REF","REF_1","LK_USER_REF","CODE","NAME","CONNECTED","DRIVER_CLASS_NAME","PROPERTIES_FILE_PATH","MODE_O","WAIT_FOR_RESULT_CONFIRMATION","ON_HOLD_1","DLY_DB_SAMPLES_2SEND","DLY_SAMPLE_DISP_REFRESH","DLY_FOR_RESERVE_RETRY","DLY_FOR_RETRY_LATER","DLY_FOR_TIME_OUT","COM_PORT","COM_BAUDE_RATE","COM_PARITY","COM_DATA_BITS","COM_STOP_BIT","IS_EMUL","RELATED_INSTR","PORT","M_REF_1"
2255,"50","66","Anti HBe",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2256,"29","73","HBe Ag",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2272,"1064","116","IgE",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2292,"116","778","HCY",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2293,"123","140","Hbc Total",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2294,"49","469","HAV Total",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2295,"32","85","HAV-M",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2296,"804","149","TPHA",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2297,"48","86","Hbc IgM",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2312,"105","84","Anti-Tg",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2313,"28","765","A-Hbs",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2332,"1065","172","Acetaminophen",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2333,"1066","671","Ethanol",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2334,"1067","90","Cortisol-SAL",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2392,"46","493","CMV IgG",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2393,"47","11","CMV IgM",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2412,"803","202","Anti CCP",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2432,"1068","510","Cholinesterase",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2452,"1069","737","Anti-SARS-CoV-2",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2472,"1071","DDimer","D Dimer T",143,3,3,3,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2492,"1071","30","D Dimer B",183,2,1,2,0,0,0,183,0,"BCS","BCS",1,"b01.l3.drivers.dadeBehring.bcs.BCSDriver","",1,0,0,10000,10000,2000,2000,30000,"6800",9600,0,8,1,0,"",8836,1
2615,"1078","146","SHBG",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2612,"1079","691","CREAJU",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2613,"10","690J","CREAJ",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2614,"1077","690J","CREAJ",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2632,"1080","317","ACEB",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
